classifier_name,dataset_name,accuracy
11,ShapesAll,0.896666667
11,SmallKitchenAppliances,0.842666667
11,SmoothSubspace,0.946666667
11,SonyAIBORobotSurface1,0.891846922
11,SonyAIBORobotSurface2,0.919202518
11,StarLightCurves,0.981908694
11,Strawberry,0.972972973
11,SwedishLeaf,0.944
11,Symbols,0.968844221
11,SyntheticControl,0.983333333
11,ToeSegmentation1,0.960526316
11,ToeSegmentation2,0.907692308
11,Trace,1
11,TwoLeadECG,0.999122037
11,TwoPatterns,0.98125
11,UMD,0.993055556
11,UWaveGestureLibraryAll,0.960636516
11,UWaveGestureLibraryX,0.837800112
11,UWaveGestureLibraryY,0.745951982
11,UWaveGestureLibraryZ,0.769960916
11,Wafer,0.999026606
11,Wine,0.814814815
11,WordSynonyms,0.71630094
11,Worms,0.688311688
11,WormsTwoClass,0.766233766
11,Yoga,0.877
9{4},ACSF1,0.9
9{4},Adiac,0.810741688
9{4},AllGestureWiimoteX,0.688571429
9{4},AllGestureWiimoteY,0.711428571
9{4},AllGestureWiimoteZ,0.658571429
9{4},ArrowHead,0.851428571
9{4},BME,1
9{4},Beef,0.833333333
9{4},BeetleFly,0.9
9{4},BirdChicken,0.9
9{4},CBF,0.998888889
9{4},Car,0.916666667
9{4},Chinatown,0.982507289
9{4},ChlorineConcentration,0.746614583
9{4},CinCECGTorso,0.85
9{4},Coffee,1
9{4},Computers,0.752
9{4},CricketX,0.797435897
9{4},CricketY,0.825641026
9{4},CricketZ,0.830769231
9{4},Crop,0.756785714
9{4},DiatomSizeReduction,0.924836601
9{4},DistalPhalanxOutlineAgeGroup,0.741007194
9{4},DistalPhalanxOutlineCorrect,0.782608696
9{4},DistalPhalanxTW,0.690647482
9{4},DodgerLoopDay,0.6625
9{4},DodgerLoopGame,0.855072464
9{4},DodgerLoopWeekend,0.985507246
9{4},ECG200,0.91
9{4},ECG5000,0.944444444
9{4},ECGFiveDays,1
9{4},EOGHorizontalSignal,0.560773481
9{4},EOGVerticalSignal,0.524861878
9{4},Earthquakes,0.748201439
9{4},ElectricDevices,0.717805732
9{4},EthanolLevel,0.59
9{4},FaceAll,0.800591716
9{4},FaceFour,0.988636364
9{4},FacesUCR,0.957560976
9{4},FiftyWords,0.83956044
9{4},Fish,0.977142857
9{4},FordA,0.948484848
9{4},FordB,0.811111111
9{4},FreezerRegularTrain,0.999649123
9{4},FreezerSmallTrain,0.967368421
9{4},Fungi,0.994623656
9{4},GestureMidAirD1,0.738461538
9{4},GestureMidAirD2,0.615384615
9{4},GestureMidAirD3,0.446153846
9{4},GesturePebbleZ1,0.906976744
9{4},GesturePebbleZ2,0.85443038
9{4},GunPoint,0.993333333
9{4},GunPointAgeSpan,0.996835443
9{4},GunPointMaleVersusFemale,1
